,text_a,text_b,smallsymptom,bigsymptom,match0,match1,match2,match3,match4,match5,match6,match7,match8,match9,score,100match0,100match1,100match2,100match3,100match4,100match5,100match6,100match7,100match8,100match9
0,"我都覺得自己表達能力好差
可能自細唔慣分享意見
同埋個人慢熟
加加埋埋個人就變得好毒好負面",明白呢個感受會令人唔開心，試吓對人敞開自己,L18,LL8,"表達能力唔好，可以多啲同屋企人或者朋友 講下自己嘅意見，多加練習, 就會整體都有進步架！",見到你話自己會好負面，你介唔介意講下你有幾負面呀？等我睇下可以點幫你吖？,有負面情緒又怕影響到人嘅話，唔洗自己收埋，可以搵學校/社區嘅社工傾下。,想同人分享心情，但係搵唔到對象，令你有點樣嘅感受？,習慣收收埋埋都無補於事😥你會唔會想試下同學校嘅counsellor傾下呢？佢哋除咗可以聽你講心事之外，仲可以俾啲方法你改善個問題㗎。,我都明白有時同家人溝通可能有困難，你可以試下多啲關心佢哋，多啲表達你嘅想法。唔好忘記幫自己打氣呀。,"我明白你嘅感受，其實同人好好溝通、相處並唔難。試下自然咁表達你嘅想法,唔好忘記幫自己打氣呀。",有負面情緒嘅時候唔洗自己捱，可以搵學校/社區嘅社工傾下。,唔緊要㗎，你做自己鍾意嘅野就夠㗎啦。唔好忘記幫自己打氣呀。,感受到你嘅委屈，你有冇試過同佢哋講你嘅感受呀？佢哋有咩反應呢？睇下可以點樣更好地表達你需要佢哋嘅支持？,1.0498046875,睇到你話會習慣收收埋埋，你覺得自己點解會有咁嘅習慣呢？,你會唔會想主動搵幾個以前同自己比較熟嘅同學傾下偈😃可能你會發現佢地其實好樂意聽你講心事😆,感受到你嘅灰心，不如你講多啲當時嘅情形，睇下有咩解決方法吖。,你睇嚟好似受咗唔少委屈，你介唔介意具體講下發生咗啲咩事令你又咁嘅感受呀？,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,我明白你嘅感受，你可以嘗試講多啲你嘅事，咁樣或者人地會更加了解你。同人溝通有困難嘅時候唔好忘記幫自己打氣呀。,年紀越大越孤獨，而任何人都會孤獨，令你有點嘅感受呢？,咁你咪主動約你想約嘅朋友囉 ！,聽到你每日晚上都要孤獨地面對事情而感到唔開心，你可以搵學校嘅counsellor傾下㗎！,明白呢個感受會令人唔開心，試吓對人敞開自己
1,"我都覺得自己表達能力好差
可能自細唔慣分享意見
同埋個人慢熟
加加埋埋個人就變得好毒好負面","表達能力唔好，可以多啲同屋企人或者朋友 講下自己嘅意見，多加練習, 就會整體都有進步架！",L18,LL8,"表達能力唔好，可以多啲同屋企人或者朋友 講下自己嘅意見，多加練習, 就會整體都有進步架！",見到你話自己會好負面，你介唔介意講下你有幾負面呀？等我睇下可以點幫你吖？,有負面情緒又怕影響到人嘅話，唔洗自己收埋，可以搵學校/社區嘅社工傾下。,想同人分享心情，但係搵唔到對象，令你有點樣嘅感受？,習慣收收埋埋都無補於事😥你會唔會想試下同學校嘅counsellor傾下呢？佢哋除咗可以聽你講心事之外，仲可以俾啲方法你改善個問題㗎。,我都明白有時同家人溝通可能有困難，你可以試下多啲關心佢哋，多啲表達你嘅想法。唔好忘記幫自己打氣呀。,"我明白你嘅感受，其實同人好好溝通、相處並唔難。試下自然咁表達你嘅想法,唔好忘記幫自己打氣呀。",有負面情緒嘅時候唔洗自己捱，可以搵學校/社區嘅社工傾下。,唔緊要㗎，你做自己鍾意嘅野就夠㗎啦。唔好忘記幫自己打氣呀。,我明嘅，你可以試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,1.0498046875,"表達能力唔好，可以多啲同屋企人或者朋友 講下自己嘅意見，多加練習, 就會整體都有進步架！",我明白你嘅感受，其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,我感受到你有好多顧慮，好難踏出一步同身邊既朋友傾訴，你可以同學校嘅counsellor傾下㗎！,你覺得自己會因為咩理由而唔開口先呢？我哋一齊睇下可以點樣改善呢個情況吖？,係咪發生過啲事令你對於搵朋友傾訴卻步呀？你會唔會想試下同counsellor傾下呢？佢哋會好樂意聽你傾訴㗎😊,或者可以同我講㗎,當無人俾反應嘅時候，你可以主動問佢哋，例如：你覺得點呀？,明白失落嘅感覺唔好受。你覺得個心好似缺失咗啲嘢。近排有無發生特別嘅事？,你介唔介意講下係咩事情令你有咁嘅感受呀？我會喺度陪你㗎🤗,聽你咁講，唔知你而家係咪孤獨呢？你打算用咩方法去享受自己一個人嘅時間呀？
2,"我都覺得自己表達能力好差
可能自細唔慣分享意見
同埋個人慢熟
加加埋埋個人就變得好毒好負面",欣賞你嘗試搵下自己感到孤獨嘅原因，唔知你會唔會想同學校嘅counsellor傾吓計，等佢哋用專業嘅方法幫你解決你嘅問題？,L18,LL8,"表達能力唔好，可以多啲同屋企人或者朋友 講下自己嘅意見，多加練習, 就會整體都有進步架！",見到你話自己會好負面，你介唔介意講下你有幾負面呀？等我睇下可以點幫你吖？,有負面情緒又怕影響到人嘅話，唔洗自己收埋，可以搵學校/社區嘅社工傾下。,想同人分享心情，但係搵唔到對象，令你有點樣嘅感受？,習慣收收埋埋都無補於事😥你會唔會想試下同學校嘅counsellor傾下呢？佢哋除咗可以聽你講心事之外，仲可以俾啲方法你改善個問題㗎。,我都明白有時同家人溝通可能有困難，你可以試下多啲關心佢哋，多啲表達你嘅想法。唔好忘記幫自己打氣呀。,"我明白你嘅感受，其實同人好好溝通、相處並唔難。試下自然咁表達你嘅想法,唔好忘記幫自己打氣呀。",有負面情緒嘅時候唔洗自己捱，可以搵學校/社區嘅社工傾下。,唔緊要㗎，你做自己鍾意嘅野就夠㗎啦。唔好忘記幫自己打氣呀。,我明嘅，你可以試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,1.0498046875,最近係咪有啲嘢令你覺得煩惱呀？有需要嘅話你可以去搵學校counsellor㗎，佢哋除咗會耐心傾聽你之外，仲可以俾啲建議你去面對眼前嘅難關㗎。,咁你想唔想識啲新朋友？你可以諗下自己喺咩情況下有機會識到朋友😃,覺得好孤獨😔你有冇試過去認識新嘅朋友呀？鼓勵你可以參加下一啲自己感興趣嘅活動，結識新朋友同建立新圈子。,你好似覺得好孤獨好大壓力，係咪學業或者工作上有嘢令你覺得煩惱？介唔介意講嚟聽下呀？,如果係想試下改，就比自己一D勇氣 &主動同佢哋傾計講自己嘅嘢、都比自己一D時間去適應呢個改變,欣賞你嘗試搵下自己感到孤獨嘅原因，唔知你會唔會想同學校嘅counsellor傾吓計，等佢哋用專業嘅方法幫你解決你嘅問題？,你覺得「知己」應該係點㗎？你而家係咪有啲心事呢？會唔會想試下同counsellor傾傾？佢哋仲可以俾啲方法你改善同其他人嘅關係㗎。,證明朋友唔係填補空虛嘅工具囉！,唔好咁灰心住，你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,你會唔會試下同同事做朋友呢？或者你有冇其他途徑去識新朋友呢？
3,以前ug用最後兩星期讀一個sem野 但就的唔起心肝平時上堂溫書,你認為自己平時點解會的唔起心肝溫書呢？我哋一齊諗下點樣又源頭開始改善呢個問題吖！,A2,AA2,你係咪覺得好似冇乜點上堂學過嘢咁呢？其實一個sem裡面除咗讀書之外都仲有好多嘢可以做，你有冇上下莊，返下工咁呀？,你會唔會只係唔係好適應到？建議你讀多一個sem，如果認真考慮過真係唔啱自己讀嘅話，或者你可以轉major啊👍,呢個情況多唔多發生㗎？你覺得係咩原因令你的唔起心肝呢？,你認為自己平時點解會的唔起心肝溫書呢？我哋一齊諗下點樣又源頭開始改善呢個問題吖！,讀咗一個sem. 嘅時間其實唔算耐。,你嗰科對你哋好要求好高喎！但係你都好勁喎！終要捱到sem 尾！要撐埋佢呀！,一個人喺外國，要自己面對好多問題㗎！你已經好叻㗎喇！但係，語言冇得急㗎 ！兩個星期都係好短嘅時間，你畀啲時間自己適應同成長啦！,既然都捱咗兩年半， 都過咗一大半嘅時間！不如畀自己捱埋佢，攞咗張證書先啦！,只係兩星期啫，凡事都有個過程嘅，語言能力無得急，只要多啲講多啲聽英文能力自然會有進步㗎啦！,上堂要專心聽書呀，如果唔係就嘥左自己返學嘅時間啦！,1.05078125,你認為自己平時點解會的唔起心肝溫書呢？我哋一齊諗下點樣又源頭開始改善呢個問題吖！,可以為自己定立一啲容易做到嘅目標，自己就有多啲動力去讀。,知道你覺得背書有困難，建議你可以睇下關於歷史故事嘅電影或者劇集，透過故事去記歷史嘅內容。,成日瞓唔到真係好辛苦！讀書係緊要，但係都要諗方法比自己舒緩下D壓力喎！你有冇試過做靜觀呀？可以跟呢段片試下做： https://www.youtube.com/watch?v=vnn5Xjp0fp0,第一年要適應 係比較辛苦㗎,其實冇話好定壞如果能夠直接入大學 當然唔讀asso 但如果唔能夠直接入大學 asso係畀你一個繼續進修嘅機會啫,唔洗讀不過係錯覺啦！ 如果覺得壓力大都要好好咁樣處理下佢喎。,讀書有壓力係正常嘅！都係推動力嘅一種！但係如果壓力大到令自己好唔舒服，就要減壓啦！,想溫書但專心唔都的確係幾麻煩，你認為係咩原因令你專心唔到呀？,每個人適應新環境讀書嘅時間都唔同，俾多啲時間自己了解自己，搵適合自己嘅學習方法
4,仲有7個鐘考試 咩都記唔入腦,我明白考試好辛苦，要實行適合你嘅温書策略同時間管理，其實唔容易。唔好忘記幫自己打氣呀。,A3,AA3,啲嘢記唔入腦真係會令人覺得好擔心，你可唔可以講多啲你而家嘅情況，我哋一齊睇下有咩解決方法吖？,知道你就快考試，不過得返7個鐘或者都記唔到幾多嘢，建議你預留返足夠嘅時間比自己休息，養精蓄銳，否則記到入腦嘅嘢都未必可以應用到。,如果只剩返七個鐘就應該好好休息啦!,好開心你覺得而家嘅考試唔難應付，另外你可以搵下有咩記憶法會幫到你，睇多幾次嗰啲要記嘅內容都好有用㗎，加油💪,睇得出考試令你感到十分煩惱😥你最近有冇足夠嘅休息呀？與其開夜車但記唔到嘢，倒不如早啲休息，用清醒嘅頭腦同埋已有嘅記憶去考試，加油💪,睇到你因為溫唔入腦搵感到焦躁，你試過用啲乜嘢方法溫書呀？有冇聽過視角聽覺觸覺記憶方法？,我明白你嘅感受，記憶力係要訓練嘅，唔好忘記幫自己打氣呀。,試吓用啲記憶法令自己易啲入腦，硬背都唔係好辦法。,睇見你話會成日唔記得嘢，具體係咩嘢嚟㗎？可唔可以分享多啲，睇下有冇辦法可以解決個問題？,感受到你對於考試嘅不安，你下個學期可以試下平時上完堂就溫習，鞏固記憶。,1.05078125,睇到你因為溫唔入腦搵感到焦躁，你試過用啲乜嘢方法溫書呀？有冇聽過視角聽覺觸覺記憶方法？,聽到你話覺得讀書讀唔入腦，會唔會係你用嘅方法唔適合自己呢？你平時係點樣溫書㗎？,你覺得點解自己冇乜動力呢？你不妨試下完成咗啲小目標先，加油！,集中唔到精神上堂係咪困擾緊你？上堂集中唔到嘅結果係點樣呢？,功課多又難真係會令人好灰心，係啲咩功課嚟㗎？,見到你覺得返學好唔係好學到嘢咁，唔知你係咪習慣臨考試先溫書呢？建議你平時落堂之後可以多啲思考上堂學過嘅嘢，反芻下啲知識，話唔定你會覺得更加有學習緊嘅感覺。,你聽落喺讀書方面遇到啲挫折，介唔介意分享下係咩事令咁諗？講出嚟可能會舒服啲㗎。,你有冇諗過邊一個major適合你呢？除咗同我傾，都可以揾學校嘅輔導員傾下喎！,sem3嘅時候係咪發生過啲咩事情令你唔再鍾意讀書呀？你介唔介意講下喺咩事，等我睇下可以點幫你吖？,"大學嘅嘢當然比中學難, 大學嘅你都會比中學嘅你叻㗎，呢個係每個人進步既過程啦！"
5,仲有7個鐘考試 咩都記唔入腦,如果只剩返七個鐘就應該好好休息啦!,A3,AA3,啲嘢記唔入腦真係會令人覺得好擔心，你可唔可以講多啲你而家嘅情況，我哋一齊睇下有咩解決方法吖？,知道你就快考試，不過得返7個鐘或者都記唔到幾多嘢，建議你預留返足夠嘅時間比自己休息，養精蓄銳，否則記到入腦嘅嘢都未必可以應用到。,如果只剩返七個鐘就應該好好休息啦!,好開心你覺得而家嘅考試唔難應付，另外你可以搵下有咩記憶法會幫到你，睇多幾次嗰啲要記嘅內容都好有用㗎，加油💪,睇得出考試令你感到十分煩惱😥你最近有冇足夠嘅休息呀？與其開夜車但記唔到嘢，倒不如早啲休息，用清醒嘅頭腦同埋已有嘅記憶去考試，加油💪,睇到你因為溫唔入腦搵感到焦躁，你試過用啲乜嘢方法溫書呀？有冇聽過視角聽覺觸覺記憶方法？,我明白你嘅感受，記憶力係要訓練嘅，唔好忘記幫自己打氣呀。,試吓用啲記憶法令自己易啲入腦，硬背都唔係好辦法。,睇見你話會成日唔記得嘢，具體係咩嘢嚟㗎？可唔可以分享多啲，睇下有冇辦法可以解決個問題？,感受到你對於考試嘅不安，你下個學期可以試下平時上完堂就溫習，鞏固記憶。,1.05078125,如果只剩返七個鐘就應該好好休息啦!,冇動力都真係令人覺得有啲頭痛…係咪有咩經歷或者事情令你失去咗你嘅動力呀？,你溫咗幾耐書呀？溫書除咗埋頭苦讀之外，有適當嘅休息俾自己同個腦去鞏固溫好嘅嘢都好重要㗎，加油！,有冇俾自己一兩日放鬆吓？一味爛讀都唔係好事呀！,聽到你失去複習動力，要記得每一個機會都好難得 ，唔好令自己後悔!,上堂要專心聽書呀，如果唔係就嘥左自己返學嘅時間啦！,唔記得就算啦！既然都考完囉，係時候畀自己好好休息下啦！,但係⋯⋯上堂瞓覺就梗係唔明老師講乜啦⋯⋯,適應係需要時間㗎。,我明白你嘅感受，讀好書唔容易，唔好忘記幫自己打氣呀。
6,仲有7個鐘考試 咩都記唔入腦,不如比自己專心咁休息吓先啦,A3,AA3,啲嘢記唔入腦真係會令人覺得好擔心，你可唔可以講多啲你而家嘅情況，我哋一齊睇下有咩解決方法吖？,知道你就快考試，不過得返7個鐘或者都記唔到幾多嘢，建議你預留返足夠嘅時間比自己休息，養精蓄銳，否則記到入腦嘅嘢都未必可以應用到。,如果只剩返七個鐘就應該好好休息啦!,好開心你覺得而家嘅考試唔難應付，另外你可以搵下有咩記憶法會幫到你，睇多幾次嗰啲要記嘅內容都好有用㗎，加油💪,睇得出考試令你感到十分煩惱😥你最近有冇足夠嘅休息呀？與其開夜車但記唔到嘢，倒不如早啲休息，用清醒嘅頭腦同埋已有嘅記憶去考試，加油💪,睇到你因為溫唔入腦搵感到焦躁，你試過用啲乜嘢方法溫書呀？有冇聽過視角聽覺觸覺記憶方法？,我明白你嘅感受，記憶力係要訓練嘅，唔好忘記幫自己打氣呀。,試吓用啲記憶法令自己易啲入腦，硬背都唔係好辦法。,睇見你話會成日唔記得嘢，具體係咩嘢嚟㗎？可唔可以分享多啲，睇下有冇辦法可以解決個問題？,感受到你對於考試嘅不安，你下個學期可以試下平時上完堂就溫習，鞏固記憶。,1.05078125,你覺得你自己記唔住老師上堂講嘅嘢。你平時上堂嘅真會唔會抄筆記呀？又或者落堂嘅時候可以同老師同學討論吓課堂內容，增強你對課堂內容嘅記憶。,理解到你嘅不滿，但條條大路通羅馬，唔一定一開始就要由學士讀起嘅，有冇考慮過其她非學位但又可以讀到心意科目嘅課程？,欣賞你嘗試搵方法幫自己應付英文嘅課業，你有冇考慮過可以試下ELC嘅服務，改善自己嘅英文能力呢？,記住有時畀自己放鬆下啊😀遇到有咩唔明就去請教下其他人啦👍,不如比自己專心咁休息吓先啦,過左去嘅嘢就唔好太傷心啦，何況人係會進步嘛，人就係要續步續步學習啦係咪?,聽到你對讀書覺得好似徒勞無功而好辛苦，會唔會係你努力嘅方法同達到理想成績有啲出入？,理解你想重返校園嘅心情，介唔介意講多啲網上授課對你嘅影響同埋問題，我哋一齊諗吓有冇解決方法？,如果範圍太廣，時間又唔夠，可以縮細個範圍，重點溫書。,視乎你嘅目標 分配好時間 訂立啲階段目標去努力逐步達成 或者試下form study group同同學仔一齊溫重點  做好啲搶分題 咁就冇咁擔心 溫得輕鬆啲架啦
7,仲有7個鐘考試 咩都記唔入腦,知道你就快考試，不過得返7個鐘或者都記唔到幾多嘢，建議你預留返足夠嘅時間比自己休息，養精蓄銳，否則記到入腦嘅嘢都未必可以應用到。,A3,AA3,啲嘢記唔入腦真係會令人覺得好擔心，你可唔可以講多啲你而家嘅情況，我哋一齊睇下有咩解決方法吖？,知道你就快考試，不過得返7個鐘或者都記唔到幾多嘢，建議你預留返足夠嘅時間比自己休息，養精蓄銳，否則記到入腦嘅嘢都未必可以應用到。,如果只剩返七個鐘就應該好好休息啦!,好開心你覺得而家嘅考試唔難應付，另外你可以搵下有咩記憶法會幫到你，睇多幾次嗰啲要記嘅內容都好有用㗎，加油💪,睇得出考試令你感到十分煩惱😥你最近有冇足夠嘅休息呀？與其開夜車但記唔到嘢，倒不如早啲休息，用清醒嘅頭腦同埋已有嘅記憶去考試，加油💪,睇到你因為溫唔入腦搵感到焦躁，你試過用啲乜嘢方法溫書呀？有冇聽過視角聽覺觸覺記憶方法？,我明白你嘅感受，記憶力係要訓練嘅，唔好忘記幫自己打氣呀。,試吓用啲記憶法令自己易啲入腦，硬背都唔係好辦法。,睇見你話會成日唔記得嘢，具體係咩嘢嚟㗎？可唔可以分享多啲，睇下有冇辦法可以解決個問題？,感受到你對於考試嘅不安，你下個學期可以試下平時上完堂就溫習，鞏固記憶。,1.05078125,知道你就快考試，不過得返7個鐘或者都記唔到幾多嘢，建議你預留返足夠嘅時間比自己休息，養精蓄銳，否則記到入腦嘅嘢都未必可以應用到。,臨考試先嚟溫唔入腦都幾頭痕，你而家心情點呀？我哋一齊搵下有咩方法可以幫你記到啲嘢入腦啦。,考試期間你除咗溫習之外通常仲會做咩㗎？建議你可以安排啲時間俾自己休息下、做下運動，有好嘅狀態係可以幫你表現得好啲㗎！,或者，係時候畀自己放鬆一下啦!畀個空間自己諗清楚先至決定啦!,你好勁呀捱到兩個星期咁嘅日子! 要堅持住啊終點就嚟到喇!,你似乎因為每次都唔成功而感到失落，你覺得係咩原因令你唔成功呢？我哋一齊睇下有咩方法可以消除呢啲障礙吖？,過左去嘅嘢就唔好太傷心啦，何況人係會進步嘛，人就係要續步續步學習啦係咪?,明白覺得大學嘅學習模式好難，你可以試下自己上網學習難明嘅概念，話唔定網上其他人嘅解法會容易啲明。先搞清楚概念，再慢慢試下用嚟解題，加油！,溫書專心唔到令你覺得好煩惱，你覺得自己會因為咩原因分心呢？,我明白你嘅感受，唔好忘記幫自己打氣呀。
8,"第一屆都係94巴絲 :) 
小弟加入政府都一段日子 人工算ok 不過人生好似冇咩目標咁 唔會發達 唔會餓死 ",唔好咁灰心住，要找到人生目標唔容易，你付出嘅努力唔會白費嘅，唔好忘記幫自己打氣呀。,A1,AA1,我明白你嘅感受，要找到人生目標唔容易，唔好忘記幫自己打氣呀。,人生係唔只返工讀書㗎！,「冇人生」即係點呀？不如你講多少少，等我睇下可以點幫你吖？,我明白你可能會有啲迷茫，要找到人生目標唔容易，你付出嘅努力唔會白費嘅，唔好忘記幫自己打氣呀。,唔好咁灰心住，要找到人生目標唔容易，你付出嘅努力唔會白費嘅，唔好忘記幫自己打氣呀。,其實人生又點會事事估計得到呢，總有起伏㗎嘛。不如分享多啲你之前嘅經歷？,人生的意義係有好多唔同嘅事情組成㗎喎。,讀書唔代表你嘅整個人生㗎！讀書只不過人生嘅一部分。,人生的意義係一個成世人都會諗嘅課題嚟嘅。,或者，培養下健康嘅嗜好呀！ 咁對你嘅人生會有好嘅發展㗎啦！,1.0458984375,唔好咁灰心住，要找到人生目標唔容易，你付出嘅努力唔會白費嘅，唔好忘記幫自己打氣呀。,知道你失咗業一段時間，呢段時間裡邊你有冇搵過工呀？,嗯⋯⋯個人好攰可以有好多原因，除左工作，日常生活習慣，例如夜瞓，都會影響到你既精神狀態；,我明白你可能會有啲迷茫，你付出嘅努力唔會白費嘅，唔好忘記幫自己打氣呀。,感受到你因為求職唔順利而灰心，你覺得自己喺當中有咩不足之處呢？除咗工作之外，你覺得仲有冇其他活動係可以幫你增值自己吖嗱？,我明白你嘅感受，要找到自己夢想唔容易，你付出嘅努力唔會白費嘅，唔好忘記幫自己打氣呀。,你睇嚟對於搵工覺得有啲矛盾，你可唔可以講多啲兩種想法背後嘅理由，等我睇下可以點幫你？,將來嘅事都冇得擔心咁多，盡力做好就夠。不如做吓啲嘢放鬆下個人？,明白你而家對前路感到不安，不如你試下同相熟嘅professor，或者係career center嘅人傾下，佢哋可以俾啲建議你㗎😊,"係咪發生左啲咩事? 你冷靜啲先,唔好俾咁大壓力自己，機會呢啲嘢人人都有"
9,內心一直都好孤獨好陰暗  其實自己個人一直都好負面咁樣,見到你話自己會好負面，你介唔介意講下你有幾負面呀？等我睇下可以點幫你吖？,L15,LL4,見到你生活有唔少壓力，你有冇考慮過搵學校counsellor？佢哋可以幫你減輕下你嘅負面情緒，話唔定仲可以俾啲方法你去面對呢啲壓力㗎！,你似乎受到幾種唔同嘅負面情緒困擾，不如我地一步步嚟，先從克服你嘅陰影開始尋找出路好嘛？,見到你話自己會好負面，你介唔介意講下你有幾負面呀？等我睇下可以點幫你吖？,係呀！出去同屋企人、溝通下，可能會舒緩到你嘅負面情緒呢？,敞開自己 唔好收埋負面情緒 或者都可以主動約下人,內心陰暗，係指啲乜嘢呢？可以講多啲俾我聽嗎？,感受到你覺得好焦慮，你會唔會想同學校counsellor傾下，佢哋有方法舒緩你嘅負面情緒㗎。,咁就要提醒自己每件事都應該向正面嗰邊去諗下先啦，唔可以令到自己有太大嘅負面情緒影響左決定呀。,聽見你話一個人嘅時候就情緒氾濫嘅情況，鼓勵你平時可以多啲同家人朋友傾訴，或者可以搵下counsellor，佢哋可以有技巧地同你傾吓計，幫你釋放下啲負面情緒。,忙碌都消除唔到內心嘅孤獨同空虛😔你覺得係咩原因令你覺得孤獨呀？我哋一齊睇下有咩方法幫你吖？,1.0498046875,見到你話自己會好負面，你介唔介意講下你有幾負面呀？等我睇下可以點幫你吖？,你似乎受到幾種唔同嘅負面情緒困擾，不如我地一步步嚟，先從克服你嘅陰影開始尋找出路好嘛？,"明白這感受會令人不開心,其實你可以試下用social media 去同自己朋友互動一下;又或者考慮在網上尋找有共同興趣嘅⼈",你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,我能夠理解你即使身邊有人但仍然感到孤獨，令你有啲失落。,點解會咁覺得呢？你有冇好朋友？,最近有咩事情困擾緊你呢？我會喺度聽你講㗎！,你話唯一嘅朋友即係點樣呢？我想聽多啲。,你係咪覺得好難識到朋友？你平時喺返學或者返工嘅地方識唔識到朋友？鼓勵你主動啲同其他人講嘢，話唔定好快就會識到新朋友呢😊,你有冇朋友可以同你傾下偈呢？就算而家冇乜朋友，第日都有機會識到好多朋友㗎！
