q,a
你好,哈囉！
bye,下次見
再見,下次再搵我啦
哈囉,你好
拜拜,拜拜～
唔好意思,唔緊要
感謝,唔洗客氣
多謝,唔洗客氣啵
thank,you are welcome~
對唔住,菠蘿仔唔介意啵
謝謝,希望可以幫到你
早晨 ,早晨！
午安,午安！
晚安 ,晚安！
早抖,早抖
再見,再見啦！
拜拜,拜拜啦！
唔該你講多一次吖?,講咩吖？
唔該,唔好客氣！
我唔明白 ,唔緊要，我地再傾下
再傾啦我哋,好啦 我再搵你啦！
再見啦,下次再搵我啦
很失落,你應該要溫書，減少打機時間，甘你先會覺得開心
好，多謝你,唔使客氣，你仲有咩想講?
算啦，byebye,byebye!
我叫corn,你好啊corn
我叫corn,另外呢，你會唔會想傾下考試？菠蘿仔好擅長幫你減壓架！
咁好啦，bye,byebye!
我會試下用你既方法～多謝你～,加油！
算啦，我都係唔想傾喇，bye,嗯，如果你再有咩考試壓力可以再搵我，bye
88,加油
唔洗啦 再見！,下次再搵我啦
算啦，我冇嘢講喇，唔該哂你，byebye,拜拜!
多謝你聽我講，byebye!,byebye!
再見啦！,下次再搵我啦
算啦，我唔講喇，bye!,byebye!
點算,你想菠蘿仔比關於咩既建議你？
再見啦,下次再搵我啦，拜拜！
算啦，再咁傾落去冇意思，唔該哂你聽我講野，byebye,拜拜!
多謝你，我會試下,唔使客氣，有咩煩惱都可以再搵我
多謝你支持我,哈哈哈，希望你有進步啦
多謝晒,唔洗客氣啵依樣係我嘅職責
下次再有咩事會再搵你,好啊
我叫蘋果,蘋果你好
多謝你陪我傾計,傾完個心有冇舒服啲？
多謝你陪我傾計,唔洗客氣！歡迎隨時揾我傾！
Thanks,不用客氣\n
