Q,A,sorting
我係叫做 | 我係 | 我叫做 | 我個名係 | 我叫 | 你可以叫我做 | 你可以叫我 | 叫我做,好丫，咁我叫你做*,1
你好 | 嗨 | 您好 | Hi | Hello | hi | hello | 哈囉,你好，有冇咩想話我知?|哈囉|你好!,2
bye | Bye | 再見 | 拜拜 | 下次再傾 | 下次再講 | 88,得閒再搵我啦，拜拜,3
你係邊個 | 你叫咩名,我叫做菠蘿仔，最鐘意就係同人傾計,4
建議,唔好意思 我要再知多少少先決定到,5
難過 | 唔開心 | 傷心,唔好諗佢啦|唔好難過|唔好諗咁多|事情總會解決既,6
嘈交 | 嗌交 | 吵架 | 爭執 | 鬧交,可唔可以詳情d講下你地點解嘈交？,7
壓力 | 驚,你依家吸口氣 放鬆番個人先 詳細d解釋比我知個原因係咩？|我明你既感受,8
謝謝 | thx | thanks | thank you | 唔該曬,唔洗客氣!,9
對不起 | 抱歉 | 不好意思 | 唔好意思,唔緊要,10
可否 | 可不可以 | 可唔可以 | 我想,你點解想*?,11
我要,你點解要*?,12
你是 | 你係 | 你係咪 | 你係唔係,點解你認為我係*?,13
認為 | 以為,點解話*?,14
怎麼辦 | 點算 | 怎辦好,先慢慢吸一口氣，再冷靜咁諗清楚,15
感覺 | 覺得,點解有咁既感覺?,16
為何不 | 點解唔,你希望*?,17
是否 | 係咪 | 係唔係,咁你覺得係咪*?,18
不能 | 唔得 | 做唔到 | 唔可以,點解唔得？|你已經試過?|可能下次可以呢?,19
甚麼 | 什麼 | 咩野 | 何時 | 幾時 | 誰 | 邊個 | 哪裡 | 邊度 | 如何 | 點樣 | 為何 | 因何 | 點解,點解咁問?|點解想知?|你認為係點呢?|你認為點呢?|你真係想知?|有冇問下其他人?,20
原因 | 因為,依個係真正既原因?|仲有冇其他原因?|會唔會仲有其他原因?,21
理由,咁即係點?|仲有冇其他理由?,22
或許 | 或者,嗯......,23
不曉得 | 不知道 | 唔知道,點解唔知?|再諗下有冇其他可能性?,24
不想 | 不希望 | 唔想 | 唔希望,有冇咩辦法呢?|點解唔想*呢?|咁你希望點呢?,25
想 | 希望,點解想?,26
總是 | 常常 | 總係 | 成日,可唔可以具體解釋下?|成日都係咁樣?|真係成日咁？,27
像 | 似,可唔可以再講得詳細D?,28
我想傾下,好啊 菠蘿仔最鐘意同人傾,29
對 | 岩 | 係,嗯嗯,30
朋友 | friend | fd,講多少少依個朋友既野比我聽？|你識左個朋友幾耐?,31
我決定 | 我已經決定,真係決定左既話就去做啦!|我永遠支持你!,32
是阿 | 是的 | 係啊 | 係ㄚ,有冇咩我可以幫到手?|我希望我可以幫到你手!,33
請你,我要點樣*?|你想要我*嗎?,34
不 | 唔,點解?,35
,請繼續講|係...|係嘅|嗯，我聽緊|嗯嗯|原來係咁|原來如此|哦～|我聽緊呀，你繼續吖|你介唔介意再講多啲俾我聽？|你可唔可以再講詳細少少，等我睇下可以點幫你？|你介唔介意分享多啲呢？|然後呢？|仲有呢？|之後呢？,36
