,text_a,text_b,smallsymptom,bigsymptom,match0,match1,match2,match3,match4,match5,match6,match7,match8,match9,score,100match0,100match1,100match2,100match3,100match4,100match5,100match6,100match7,100match8,100match9
0,我連生日聚都冇人預我,生日聚會都冇預你即係點呀？你介唔介意講多啲發生咗咩事，等我睇下可以點幫你吖？,L10,LL7,生日聚會都冇預你即係點呀？你介唔介意講多啲發生咗咩事，等我睇下可以點幫你吖？,感受到你覺得好唔開心，你介唔介意講下係咩事情令你有呢啲想法，睇下我可以點幫你吖？,你好似覺得自己嘅生活只係得返讀書，建議你讀書嘅同時都可以抽返啲時間同朋友同學玩下放鬆下，有好嘅心理健康對讀書都有幫助㗎！,感受到你嘅孤獨，你介唔介意講多啲當時嘅感受或者你過去嘅經歷，睇下我可以點幫你？,朋友係重質不重量㗎，鼓勵你多啲同朋友講下自己嘅感受，而且有我喺度陪你㗎！,就好似有口難言咁😥你會唔會想試下同counsellor傾下計呢？佢哋可以幫你搵方法好好坦白自己㗎。,但係如果有拖拍，但係兩個人唔夾，感覺仲孤獨呀。,"我陪住您先呀!然後, 考慮揾個COUNSELLOR 傾下呀！",明白你因為冇人記得自己生日而唔開心，不如你試下主動同其他人慶祝生日，再同佢哋約定你生日嘅時候同你慶祝返？,你喺大學似乎唔係好識到新朋友，你有冇參加過學會活動呀？你都可以試下參加學校唔同部門搞嘅活動認識新朋友㗎。,1.0302734375,生日聚會都冇預你即係點呀？你介唔介意講多啲發生咗咩事，等我睇下可以點幫你吖？,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,沉默寡言都可以係處嚟㗎！如果你覺得咁嘢係最舒服嘅就得啦！,我明白你嘅感受，你可以嘗試講多啲你嘅事，咁樣或者人地會更加了解你。同人溝通有困難嘅時候唔好忘記幫自己打氣呀。,你不妨同幾個比較熟嘅朋友傾下心事、人生，可能會冇咁寂寞呢！,但係呢樣野無得我哋控制，,聽到你對於身邊有人卻無人明白你，因而令自己感到孤獨。你可以搵學校嘅counsellor傾下㗎！,咁又真係幾無奈喎😔你會唔會想試下充實自己嘅生活，例如學多種語言、技能？咁樣就唔會成日都覺得寂寞啦😌,孤單的確難受。自己一個等其他人關心同理解唔係一件容易嘅事。會唔會想主動搵其他人？,年紀越大越孤獨，而任何人都會孤獨，令你有點嘅感受呢？
1,驚爛 grade,聽見你對成績感到擔憂，不如你講多少少你嘅情況，等我睇下可以點幫你？,A9,AA5,知道你好著緊自己嘅成績，你覺得自己會因為咩爛grade呀？,或者可以去學生發展服務處揾輔導員幫你準備下，就無咁驚㗎喇！,係咪所有功課同考試都已經完成咗喇？係嘅話就好好放鬆下，唔係就努力準備好嚟緊嘅task啦，加油👍,你似乎有啲擔心自己嘅成績，你介唔介意詳細啲講下你本來有咩預期或者目標啊？,對於考試，你打算做啲點嘅準備呢？,睇到你擔心自己考得唔好，係咪原因令你有咁嘅感覺呀？建議你下次考試前準備多啲自己弱嘅部份，考個更好嘅成績！,咁你覺得自己考成點呢？不過既然已經考完，你就休息下啦😌,聽見你話而家好辛苦，你可唔可以具體講下點樣辛苦法呀？,你似乎好擔心個考試，係咩考試嚟㗎？溫習嘅時候係咩令你覺得困難呀？,驚係在所難免，亦都可以係推動你努力去做好準備呀。只要你盡力去考，就心安理得㗎啦。,1.0341796875,既然你喺小組討論嘅環節有講過幾次嘢，咁起碼可以執到啲分啊😊就算oral卷唔係太高分，仲有其他卷可以拉分呢😀加油👍,話唔定成績會比你想象中好呢😊就算真係考得唔好，都唔洗唔開心㗎，而家好多人都會揀retake，呢個都係一條出路👍,覺得自己所有答案都錯，係點解呢？,聽見你對成績感到擔憂，不如你講多少少你嘅情況，等我睇下可以點幫你？,感受到你嘅焦慮，你會唔會考慮下同學校社工傾訴下，佢哋可以令你俾啲方法你面對呢種情緒㗎。,你似乎對你嘅成績感到憂慮，你覺得今次有咩地方係下次可以做得好啲㗎？,覺得今次成績會唔好，點解呢？,咁就要搵啲方法放鬆自己喎 多啲同信得過嘅人分享溝通 佢哋好樂意聆聽同分擔架,你考試嘅時候係咪會好緊張呢？你平時會點樣應對呢個情況㗎？,你唔洗畀自己太大壓力架，建議你可以寫email去問多幾間大學，相信佢哋好快就會答到你，咁你到時就會比較清楚自己應該點做😊
2,"唔敢同人講自己唔開心
只敢上黎連登啲post呻下",有唔敢同人講嘅心事，可以同學校或者社區嘅社工講。佢哋會細心聆聽。,L2,LL2,係咪有咩理由令你唔敢同朋友傾訴呀？你會唔會想試下同counsellor講呢？佢哋會好有耐性聽你講，仲可以俾啲方法你面對困擾你嘅事㗎。,聽到你唔敢同朋友傾訴而令自己感到辛苦，你可以同學校嘅counsellor傾下㗎！,有唔敢同人講嘅心事，可以同學校或者社區嘅社工講。佢哋會細心聆聽。,都唔使日日要同人講嘢嘅,我感受到你有好多顧慮，好難踏出一步同身邊既朋友傾訴，你可以同學校嘅counsellor傾下㗎！,成日屈住會好辛苦㗎！你可以同我講呀。,你想講嘅話，我可以喺呢度聽㗎！或者，你都可以考慮去搵下學校嘅輔導員同你傾下偈呀？,聽見你話唔開心想搵人傾訴，不如你試下同counsellor講下吖？佢哋除咗會耐心聽你講之外，仲可以俾啲建議你去面對眼前嘅問題㗎。,"唔好咁灰心住,你可以試下繼續結識朋友。終有一日您會找到connect到、樂意聼你講的人，唔好忘記幫自己打氣呀。",或者可以同我講㗎,0.9814453125,有唔敢同人講嘅心事，可以同學校或者社區嘅社工講。佢哋會細心聆聽。,你似乎有啲被動，鼓勵你與其喺度等人同你講嘢，不如主動啲同人打開話匣子？,希望佢有一日會明你嘅說話啦,感受到你覺得好難受，搵唔到人傾計嘅話，你會唔會想試下同counsellor傾下呢？佢哋除咗會耐心傾聽之外，仲可以俾啲方法你去同人建立關係㗎。,守株待兔，太被動啦。 主動出擊至係上策呀！,你覺得「知己」應該係點㗎？你而家係咪有啲心事呢？會唔會想試下同counsellor傾傾？佢哋仲可以俾啲方法你改善同其他人嘅關係㗎。,我而家同你傾囉 ：）,你有冇朋友可以同你傾下偈呢？就算而家冇乜朋友，第日都有機會識到好多朋友㗎！,聽起嚟你好似想搵個人聆聽你嘅煩惱，你會唔會想搵counsellor講下？佢哋會耐心聆聽你之餘仲可以俾意見解決你嘅煩惱。,我完全明白你好想認識新朋友，但同時又無動力去行動嘅無奈。係咩原因導致你冇動力呀？
3,"其實經驗上, 好多時都唔係英文問題....我都試過咁做, 果陣讀education .....都搵過中文版, 其實都係唔知佢up 乜",睇學術性文章係比較難㗎，睇多咗就會提升到自己嘅思維水平，到時睇呢種文章都會快好多😊加油！,A2,AA2,"但係你知道自己嘅英文能力夠弱， 如果努力去進修改善下, 將來成績一定會改進㗎！",因為語言嘅問題而影響自己嘅學習的確係幾麻煩😥 你有冇試過去ELC呢？佢哋有唔少服務幫學生改善自己嘅英文㗎。,你係喺咩方面遇到困難呢？如果想提升自己嘅英文水平，你可以搵Language Centre（）幫你手😀始終有個學位嘅話自己第日都會有多啲選擇，加油啊👍,睇到你因為學習語言嘅問題而感到困擾，鼓勵你可以去學校嘅language center，佢哋有唔少嘅服務可以幫你提升語言能力㗎。,見你因為英文嘅問題而喺學習上感到吃力，其實學校有唔少俾學生嘅英語支援，你不妨可以去睇下有冇適合自己嘅服務㗎😊,梗係有啦！好多人都係想去外國讀書，改善自己嘅英文㗎。,或者佢哋就係知道你英文唔好 希望你去到外國留學 可以將英文學好呢,而家英文唔好，咁都可以努力咁去學習令自己進步嘅！,見到你對英文似乎冇咩信心，建議你可以由日常生活入手，例如睇有字幕嘅英文節目，慢慢建立自己嘅英文底子，加油💪,語言真係冇得急㗎！好似中文咁，D生字字睇睇下呢就越睇越熟，跟住就記得㗎啦！我幫你打氣，努力、加油啊！！,1.029296875,"係咪發生左啲咩事? 你冷靜啲先,可以搵學校嘅counsellor傾下，唔好俾咁大怨氣",唔好咁灰心住，你可以試下參加多啲networking嘅活動，識多啲人，或者會搵到工作機會呢。,知道你因為成績唔好而擔心搵唔到工，既然你都知道成績唔係一切，建議你試下參加同你想做嘅工作有關嘅活動、兼職或者實習，靠實戰經驗喺其他競爭者之間突圍而出。,你揾到自己嘅興趣就好啦。搵工要畀啲耐性㗎，只要唔放棄，希望在明天呀嗎。,你好似對於自己冇目標而有啲自責，你有冇啲嘢係擅長做㗎？一係你試下由自己擅長嘅項目開始發展？,每個人追求嘅嘢都唔同嘅，,明白你升上大學後就失去咗方向感，你試下回憶吓點解當初會想讀degree嘅？就算暫時未有新目標都唔緊要㗎，可以放慢腳步，參加吓大學裡面嘅唔同活動，再去尋找新嘅目標。,每個人適應新環境讀書嘅時間都唔同，俾多啲時間自己了解自己，搵適合自己嘅學習方法,明白你呢個感受先唔好灰心 一係試吓搵吓自己嘅興趣先,有無試過約學校嘅輔導員同你review 下，睇下有咩改善嘅空間啦呢？
4,我夜晚一諗起啲deadline test 就成個人醒返哂冷汗,感受到你真係好大壓力，唔洗將成個人嘅重心放晒落學業上㗎，都要關注下其他方面，平衡返少少👍,A10,AA3,sem尾壓力大都係人之常情嚟嘅，你有冇睇過https://www.cityu.edu.hk/sds/cs/pc/sul.htm呢？裡面有啲方法可以幫你面對deadline㗎。你亦可以同學校嘅counsellor傾下計，佢哋好樂意同你分擔壓力㗎😊,deadline令你覺得有壓力，同時會令你有情緒，你會唔會想試下同counsellor講下，睇下佢有咩方法比你處理情緒同壓力？,理解你因為要趕deadline而覺得好辛苦，你有幾多個deadline呀，我哋一齊睇下可以點樣有效利用剩地嘅時間做好啲deadline吖？,理解你會因為要趕deadline而搞到狀態唔好，建議你可以同counsellor傾下，佢哋會有方法幫你應對呢啲情況㗎。,面對deadlines感到有壓力係正常㗎，你會唔會想試下同counsellor講下自己嘅情況，等佢哋俾啲方法你面對deadline帶嚟嘅情緒問題呢？,聽你話deadline同present會緊張到身體狀態變得唔好，你會唔會想講下係咩理由會令你覺得驚嘅？,知道考試壓力令你身體有問題，你平時會唔會安排啲時間俾自己休息下？鼓勵你都過安排休息時間俾自己改善身體狀況。,感受到你覺得好大壓力，你可唔可以講多啲你嘅情況俾我聽，等我睇下可以點幫你吖？,明白學業壓力令你覺得好痛苦，鼓勵你可以搵學校counsellor傾下，睇下佢哋有咩方法幫你面對學業壓力。,花啲時間做自己喜歡做嘅事 同朋友聚會行街都係好辦法,1.0390625,咁你平時有冇練習下短講呢？練習多啲就應該會冇咁緊張，就算呢份卷考得唔係咁好，都仲有其他卷可以拉分，撐住呀😃,壓力大到身體都唔舒服😭你會唔會想講下係咩事情搞到你咁？我哋一齊睇下可以點做吖？,咁要諗下解決方法喎！例如，下次帶張紙巾抹下手汗？,考試嗰陣擔心都係正常嘅！而家考完咪唔使擔心囉。,考試嘅時侯胃痛，你會點處理？,有時間同professor同學仔傾傾睇下點樣化解困難吧 揀適合你嘅科 有困難多啲搵教授問問題同form study group 都可能有幫助呢,感受到你覺得好灰，你覺得自己係因為咩原因唔識做呢？我哋睇下可以點喺下次考試之前改善呢個情況吖？,因為緊張而出現嘅肚痛，一般都會隨住緊張舒緩而一齊消失，可以嘗試深呼吸令自己放鬆啲👍有需要嘅話就去睇下醫生👍,覺得自己無認真準備嘅原因係？,睇見你有心跳好快嘅情況，你可唔可以講下幾時會有咁嘅情況，心跳好快嘅時候你通常做緊咩或者諗緊咩㗎？
5,而我考得差的話，我媽媽和爸爸會好失望,屋企人失望，會令你有點既感受？,T3,TT3,擔心自己考得唔好，令家人失望。呢件事令你有點既感受呢？,爸媽對你失望嘅話，你會有點嘅感受？,佢哋失望嘅話，你會覺得點？,佢哋對你失望嘅話，你會有點嘅感受？,佢哋失望，會令你有點嘅感受？,其實唔使擔心嘅！佢哋想你讀書好，都係為你將來著想。只要你好好計劃你嘅人生， 就自然唔會令佢哋失望㗎啦！,爸爸媽媽失望，會令你覺得點樣？,父母失望嘅話，你會有點樣嘅感受？,佢哋失望會令你有點嘅感受？,父母失望嘅話，會令你有點嘅感受？,1.03125,屋企人失望，會令你有點既感受？,覺得對唔著父母，係點解呢，我想聽你講多啲。,你想唔想試下同醫生講呢個問題呢？相信佢哋會有專業嘅意見畀到你😊,溫書記不住考點，令你覺得點樣？,如果真係fail咗，只能夠下次retake就要努力啦！,考試手震，你點樣應對？,唔記得就算啦！既然都考完囉，係時候畀自己好好休息下啦！,次次考試都鎮定唔到，係咩原因呢？,理解你唔鍾意group project嘅原因，你最近係咪因為project而感到困擾呀？介唔介意具體啲講下係咩事情呢？,在職在學仲要考琴真係好厲害，同時都感受到你一定好大壓力，你會唔會想搵學校社工傾下，佢哋可以俾啲建議你去面對壓力㗎。
6,而我考得差的話，我媽媽和爸爸會好失望,嘗試，放鬆心情， 好好咁發揮應有嘅實力呀！,T3,TT3,擔心自己考得唔好，令家人失望。呢件事令你有點既感受呢？,爸媽對你失望嘅話，你會有點嘅感受？,佢哋失望嘅話，你會覺得點？,佢哋對你失望嘅話，你會有點嘅感受？,佢哋失望，會令你有點嘅感受？,其實唔使擔心嘅！佢哋想你讀書好，都係為你將來著想。只要你好好計劃你嘅人生， 就自然唔會令佢哋失望㗎啦！,爸爸媽媽失望，會令你覺得點樣？,父母失望嘅話，你會有點樣嘅感受？,佢哋失望會令你有點嘅感受？,父母失望嘅話，會令你有點嘅感受？,1.03125,爹哋媽咪嬲，令你有點樣嘅感受？,媽咪鬧你，會令你有點嘅感受？,如果有同學朋友仔一齊考可以互相扶持下 多啲休息 專注做好試卷考完就可以做自己想做的事,"先不要那麼擔心, 想 想如果真係咁，可以掂處理？",咁你應該好緊張喎 有無試過點樣可以加強你嘅信心或者令自己定啲,如果身體唔舒服，原因不明，要 盡快求醫呀。,有時間同professor同學仔傾傾睇下點樣化解困難吧 揀適合你嘅科 有困難多啲搵教授問問題同form study group 都可能有幫助呢,但係，既然都已經考完試囉，不如而家畀自己好好休息下先啦！,返學似乎會令你好緊張，你可唔可以講下你擔心返學同測驗考試嘅邊部份呀？,如果check好份卷早啲離開都好 多啲時間俾自己休息同準備下一科嘛
7,考試嗰陣，我有時會發呆，然後望住某個地方定曬形,考試發呆，望住某處定型嘅時侯，係諗緊乜？,T16,TT6,考試發呆，望住某處定型嘅時侯，係諗緊乜？,發呆都係一種休息嚟嘅！,有冇試過因為發呆搞到做唔切,諗野發呆，定型嘅時候，係諗緊啲乜嘢？,盯著一個地方發呆，係喺咩情況之下？,考試放空，望住某處定型嘅時侯，係諗緊乜？,考緊試要睇住個時間做人喎.,考試出神，望住某處定型嘅時侯，係諗緊乜？,諗野神遊，定型嘅時候，係諗緊啲乜嘢？,諗野走神，定型嘅時候，係諗緊啲乜嘢？,0.97900390625,考試發呆，望住某處定型嘅時侯，係諗緊乜？,嗯好多人考試都會好緊張 但係咁樣會唔會影響咗你嘅發揮 有冇減壓嘅辦法,熟習多啲past paper同題目會唔會令你多啲信心冇咁緊張 或者可以同同學朋友一齊溫 一齊面對感覺會好啲,睇得出父母對你嘅期望令你覺得好大壓力，你覺得自己而家準備成點呀？如果你有需要的話，隨時都可以搵學校嘅社工傾訴下㗎，佢哋可以俾啲方法你去應對考試帶嚟嘅壓力😊,見到你話會因為考試deadline而唔舒服，呢啲時候你通常會諗啲咩㗎？我哋一齊搵出令你覺得唔舒服嘅根源，再睇下可以點應對吖？,咁就要搵啲方法放鬆自己喎 搵啲時間做自己想做嘅事 多啲同信得過嘅人分享溝通 分擔一下,屋企人失望，會令你有點既感受？,你有冇試下深呼吸幾下呀？,擔心自己fail，你嘅感受係點樣？,如果你對自己有好高期望，分數低係會失望嘅！ 不過既然都考完囉，不如比自己好好休息下，下次再努力過啦！
8,考試嗰陣，我有時會發呆，然後望住某個地方定曬形,咁要諗下你到底想點啦！人生苦短，唔好浪費自己嘅時間呀！,T16,TT6,考試發呆，望住某處定型嘅時侯，係諗緊乜？,發呆都係一種休息嚟嘅！,有冇試過因為發呆搞到做唔切,諗野發呆，定型嘅時候，係諗緊啲乜嘢？,盯著一個地方發呆，係喺咩情況之下？,考試放空，望住某處定型嘅時侯，係諗緊乜？,考緊試要睇住個時間做人喎.,考試出神，望住某處定型嘅時侯，係諗緊乜？,諗野神遊，定型嘅時候，係諗緊啲乜嘢？,諗野走神，定型嘅時候，係諗緊啲乜嘢？,0.97900390625,考試要專心呀！如果太緊張嘅話，就放低支筆咪埋隻眼深呼吸幾下， 就會冇咁緊張㗎啦！,做多啲past paper啦 針對性做熟考核內容 到考試就無咁緊張啦,遇到特別難嘅題目就想望下人哋點做，呢件事令你有點嘅感受？,望人哋點答題嘅時侯，你嘅感受係？,考試緊張到頭痛，的確難受。你點面對？,父母對你分數唔滿意，你有點嘅感受？,感受到你覺得好大壓力，你可以考慮將自己嘅心情同諗法向佢地坦白，無論你考成點，相信佢地都會接納同理解你😊,你覺得姐，可能唔係呢？,遇到唔識嘅題目，你有點嘅感受？,檢視自己嘅不足係為下次考試做好準備嘅第一步👍你可以試下考試前book琴房練習，熟習下唔同嘅琴，調整自己嘅彈法，加油呀！
9,算啦，讀到中三仲quit變quite，辛苦又變幸苦，你有得揀咩？,不如講多啲，睇吓我可以點樣幫你？,A2,AA2,你唔知想唔想咁咪試咗先，呢啲嘢一試無妨呀，唔試遲啲後悔咁咪仲弊。唔鍾意可以再諗quit嘅啫。,同人比較係會辛苦D㗎！,如果太辛苦，就比自己休息下啦。,如果宜家quit，學費冇得退㗎。,聽到你話雖然辛苦但會貫徹自己當初嘅選擇，欣賞你嘅決心！都理解你孤獨嘅感受，你有冇試過聯絡返以前喺學校嘅朋友呀？,明白你對其他人嘅羨慕，你係咪遇到好多挫折？介唔介意講多啲有咩嘢令你覺得辛苦？,你會唔會想讀多一段時間，睇下適唔適應到？如果你到時真係想quit都冇問題㗎，無論你做咩決定我都支持你👍,都係辛苦㗎，加油啊！,比較係辛苦D㗎，始終出身唔係我哋可以控制到嘅嘢。但係，我好欣賞你嘅努力呀！,你係咪未適應到大學嘅學習模式呢？你覺得係邊部份令你覺得最辛苦呀？,1.037109375,唔好灰心呀！搵工嘅嘢要慢慢嚟㗎。,聽落你有適應方面嘅問題喎，不如講多啲，睇吓我可以點樣幫你？,仲有時間慢慢搵嘅！,係咩原因令你覺得唔樂觀呢？你覺得自己面試表現成點呀？我哋一齊睇下點樣為之後嘅面試做定準備先吖？,你唔好鑽牛角尖啦！,有需要嘅，可以搵學校嘅輔導員同你傾吓一齊搵吓方向㗎，佢哋嘅電話係<SDS_PHONE>,如果諗定咗又計劃好，有心唔怕遲嘅。但不如搵搵可靠嘅人或者同屋企人傾吓先？,"你嘅做法都幾正面啦. 讀好啲書成績好咗,  將來 搵工都會容易啲㗎! ",擔心咁多都冇用㗎！ 搵份有興趣嘅工，然後努力去做， 就會有自然㗎啦！,明白你嘅灰心，喺覺得唔開心嘅時候，不如做啲你鍾意做嘅嘢，令自己開心返啲先？
